wl	flux	unc
10840.05933	0.014733089	0.000147331
10840.13591	-0.003263846	-3.26385E-05
10840.21249	-0.001038215	-1.03821E-05
10840.28905	-0.000926893	-9.26893E-06
10840.3656	0.00484795	4.84795E-05
10840.44214	0.001028631	1.02863E-05
10841.2834	0.001175917	1.17592E-05
10841.35982	0.00745292	7.45292E-05
10841.43622	0.015086743	0.000150867
10841.51262	0.008003265	8.00326E-05
10841.589	0.009439368	9.43937E-05
10841.66537	0.007607465	7.60746E-05
10841.74174	0.001948177	1.94818E-05
10841.81809	0.016244284	0.000162443
10841.89443	0.014882747	0.000148827
10841.97076	0.018973508	0.000189735
10842.04708	0.018590176	0.000185902
10842.12339	0.011561713	0.000115617
10842.19969	0.025708553	0.000257086
10842.27598	0.020812994	0.00020813
10842.35226	0.014574445	0.000145744
10842.42853	0.006371071	6.37107E-05
10842.50479	0.008798309	8.79831E-05
10842.58104	0.013041786	0.000130418
10842.65727	-0.004793401	-4.7934E-05
10842.7335	0.020450368	0.000204504
10842.80972	0.004640119	4.64012E-05
10842.88592	0.001197818	1.19782E-05
10842.96212	0.000953702	9.53702E-06
10843.0383	0.007789583	7.78958E-05
10843.11448	0.002827247	2.82725E-05
10843.19064	0.006474533	6.47453E-05
10843.26679	0.00523975	5.23975E-05
10844.02774	0.003483134	3.48313E-05
10844.10378	0.022103617	0.000221036
10844.17981	0.007959623	7.95962E-05
10844.25582	0.009636056	9.63606E-05
10844.33183	0.028832173	0.000288322
10844.40782	0.014882752	0.000148828
10844.48381	0.011629808	0.000116298
10844.55978	0.006384491	6.38449E-05
10844.63574	0.012474017	0.00012474
10844.7117	0.002123721	2.12372E-05
10844.78764	0.011741242	0.000117412
10844.86357	0.022373947	0.000223739
10844.93949	0.018119511	0.000181195
10845.0154	0.012013891	0.000120139
10845.0913	0.020016059	0.000200161
10845.16719	0.009569892	9.56989E-05
10845.24307	0.011441571	0.000114416
10845.31894	-0.00458313	-4.58313E-05
10845.39479	0.019712381	0.000197124
10845.47064	0.011204646	0.000112046
10845.54648	0.016381486	0.000163815
10846.53139	0.008348206	8.34821E-05
10846.60708	0.01838103	0.00018381
10846.68276	0.007609372	7.60937E-05
10846.75842	-0.002726537	-2.72654E-05
10846.83408	0.001293859	1.29386E-05
10846.90972	0.003751845	3.75184E-05
10846.98536	0.009683301	9.6833E-05
10847.06098	0.005965725	5.96573E-05
10847.1366	0.011284551	0.000112846
10847.2122	-0.006617417	-6.61742E-05
10847.28779	0.008346567	8.34657E-05
10847.36338	0.010085529	0.000100855
10847.43895	0.01553219	0.000155322
10847.51451	0.014295492	0.000142955
10847.59006	0.00996073	9.96073E-05
10847.6656	0.012356117	0.000123561
10847.74113	0.008726109	8.72611E-05
10847.81665	0.003713703	3.7137E-05
10847.89216	0.006495193	6.49519E-05
10847.96765	0.001107118	1.10712E-05
10848.04314	0.003993178	3.99318E-05
10848.11861	0.008205789	8.20579E-05
10848.19408	-0.00467877	-4.67877E-05
10848.26954	0.00050751	5.0751E-06
10848.34498	0.001395277	1.39528E-05
10848.42041	0.002119006	2.11901E-05
10848.49584	0.008826734	8.82673E-05
10848.57125	0.008411867	8.41187E-05
10848.64665	0.013241951	0.00013242
10848.72204	0.014850386	0.000148504
10848.79742	0.018461477	0.000184615
10848.87279	0.021718277	0.000217183
10848.94815	0.003841536	3.84154E-05
10849.0235	0.012847479	0.000128475
10849.09883	0.011612374	0.000116124
10849.17416	0.009056304	9.0563E-05
10849.24948	0.007556875	7.55688E-05
10849.32478	0.015546781	0.000155468
10849.40008	-0.009923837	-9.92384E-05
10849.47536	0.00142619	1.42619E-05
10849.55064	0.003791112	3.79111E-05
10849.6259	0.010375025	0.00010375
10849.70115	0.02032375	0.000203238
10849.77639	0.018378183	0.000183782
10849.85162	0.010856634	0.000108566
10849.92684	0.006279628	6.27963E-05
10850.00205	0.004628455	4.62846E-05
10850.07725	0.006956785	6.95678E-05
10850.15244	0.014144912	0.000141449
10850.22762	0.014747376	0.000147474
10850.30279	0.016423362	0.000164234
10850.37794	0.018745739	0.000187457
10850.45309	0.012661415	0.000126614
10850.52822	0.014416608	0.000144166
10850.60335	0.012676422	0.000126764
10850.67846	0.006310001	6.31E-05
10850.75356	0.014885843	0.000148858
10850.82866	0.016963856	0.000169639
10850.90374	-0.000180226	-1.80226E-06
10850.97881	0.005012264	5.01226E-05
10851.05387	0.010805407	0.000108054
10851.12892	0.01890324	0.000189032
10851.20396	-0.001017178	-1.01718E-05
10851.27898	0.016285767	0.000162858
10851.354	0.003138868	3.13887E-05
10851.42901	0.006764005	6.764E-05
10851.504	0.004125816	4.12582E-05
10851.57899	0.006807706	6.80771E-05
10851.65396	0.014469183	0.000144692
10851.72893	0.001602116	1.60212E-05
10851.80388	0.008862769	8.86277E-05
10851.87882	0.009284554	9.28455E-05
10851.95375	0.01245566	0.000124557
10852.62766	0.01826361	0.000182636
10852.70248	0.002639859	2.63986E-05
10853.37542	0.008243125	8.24313E-05
