HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459332.95402,2021-04-28.4519966,bC,1.47,15.031,10.286,0.010,278.947,2.578,g
2459332.95527,2021-04-28.4532444,bC,1.45,15.061,10.333,0.010,267.240,2.381,g
2459332.95652,2021-04-28.4544994,bC,1.45,15.038,10.277,0.011,281.141,2.704,g
2459338.07407,2021-05-03.5719621,bC,1.46,14.688,10.338,0.005,266.031,1.283,g
2459338.07531,2021-05-03.5732041,bC,1.50,14.649,10.349,0.006,263.494,1.378,g
2459338.07655,2021-05-03.5744533,bC,1.54,14.558,10.290,0.009,278.119,2.398,g
2459340.09470,2021-05-05.5925697,bC,1.59,99.990,99.990,99.990,99.990,99.990,g
2459342.81406,2021-05-08.3118950,bC,1.58,14.946,10.270,0.009,283.003,2.227,g
2459342.81531,2021-05-08.3131406,bC,1.52,14.955,10.272,0.009,282.509,2.403,g
2459342.81656,2021-05-08.3143938,bC,1.60,14.958,10.285,0.010,279.119,2.557,g
2459346.00265,2021-05-11.5004495,bC,1.54,15.259,10.706,0.010,189.510,1.736,g
2459346.00390,2021-05-11.5017015,bC,1.56,15.263,10.717,0.010,187.556,1.747,g
2459346.00516,2021-05-11.5029539,bC,1.56,15.027,10.249,0.011,288.785,2.767,g
2459350.79446,2021-05-16.2922101,bC,1.60,14.914,10.267,0.010,283.720,2.613,g
2459350.79569,2021-05-16.2934465,bC,1.63,14.926,10.269,0.010,283.435,2.487,g
2459350.79694,2021-05-16.2946976,bC,1.55,14.924,10.262,0.010,285.074,2.536,g
2459352.86506,2021-05-18.3628009,bs,1.54,14.884,10.186,0.010,305.937,2.675,g
2459352.86628,2021-05-18.3640229,bs,1.49,14.914,10.250,0.009,288.406,2.400,g
2459352.86751,2021-05-18.3652532,bs,1.46,14.912,10.248,0.009,289.153,2.389,g
2459352.90288,2021-05-18.4006196,bs,1.53,14.907,10.249,0.009,288.691,2.355,g
2459352.90410,2021-05-18.4018437,bs,1.57,14.899,10.228,0.009,294.097,2.476,g
2459352.90531,2021-05-18.4030528,bs,1.60,14.900,10.244,0.009,290.103,2.490,g
2459354.93573,2021-05-20.4334621,bC,1.41,15.247,10.668,0.009,196.379,1.670,g
2459354.93696,2021-05-20.4347004,bC,1.39,15.301,10.784,0.009,176.364,1.555,g
2459354.93822,2021-05-20.4359539,bC,1.44,15.239,10.660,0.010,197.698,1.819,g
2459357.00967,2021-05-22.5073989,bC,1.40,15.276,10.743,0.010,183.090,1.667,g
2459357.01091,2021-05-22.5086398,bC,1.41,15.238,10.656,0.009,198.457,1.730,g
2459357.01216,2021-05-22.5098812,bC,1.39,15.284,10.766,0.010,179.394,1.646,g
2459359.76071,2021-05-25.2584288,bs,1.43,14.878,10.247,0.009,289.170,2.445,g
2459359.76194,2021-05-25.2596575,bs,1.45,15.141,10.818,0.009,170.883,1.438,g
2459359.76317,2021-05-25.2608891,bs,1.47,15.161,10.847,0.008,166.413,1.298,g
2459359.79476,2021-05-25.2924790,bs,1.51,15.155,10.778,0.005,177.313,0.814,g
2459359.79599,2021-05-25.2937060,bs,1.54,14.949,10.336,0.004,266.496,0.919,g
2459359.79723,2021-05-25.2949524,bs,1.52,14.903,10.252,0.009,287.874,2.337,g
2459362.97340,2021-05-28.4711247,bC,1.51,15.037,10.279,0.009,280.926,2.315,g
2459362.97465,2021-05-28.4723712,bC,1.48,15.243,10.721,0.010,186.880,1.766,g
2459362.97590,2021-05-28.4736200,bC,1.53,15.256,10.753,0.010,181.387,1.641,g
2459366.96343,2021-06-01.4611541,bC,1.56,15.044,10.256,0.010,286.769,2.617,g
