date,dec,exp_time,jd,qidx,ra,star_name,time
2020-07-28,30.480446,308.85,2459058.7166240923,7174.0,21.635082,HAT-P-17b_OUT_3_before2,05:11:56
2020-07-28,30.480521,308.85,2459058.720572438,7174.0,21.635147,HAT-P-17b_OUT_3_before2,05:17:37
2020-07-28,30.480789,308.85,2459058.724520888,7174.0,21.635223,HAT-P-17b_OUT_3_before2,05:23:18
2020-07-29,30.495939,308.85,2459059.939830562,7175.0,21.635723,HAT-P-17b_OUT_3_before1,10:33:21
2020-07-29,30.493476,308.85,2459059.943778819,7175.0,21.635769,HAT-P-17b_OUT_3_before1,10:39:02
2020-07-29,30.490994,308.85,2459059.947726776,7175.0,21.63581,HAT-P-17b_OUT_3_before1,10:44:43
2020-07-29,30.488521,308.85,2459059.951675475,7175.0,21.635864,HAT-P-17b_OUT_3_before1,10:50:24
2020-07-30,30.496818,308.85,2459060.939842791,7177.0,21.635717,HAT-P-17b_OUT_3_same,10:33:22
2020-07-30,30.494319,308.85,2459060.9437910495,7177.0,21.635758,HAT-P-17b_OUT_3_same,10:39:03
2020-07-30,30.491785,308.85,2459060.947739105,7177.0,21.63582,HAT-P-17b_OUT_3_same,10:44:44
2020-07-30,30.489433,308.85,2459060.9516876116,7177.0,21.635868,HAT-P-17b_OUT_3_same,10:50:25
2020-07-31,30.481183,308.85,2459061.70801732,7178.0,21.635158,HAT-P-17b_OUT_3_after1,04:59:32
2020-07-31,30.481348,308.85,2459061.7119659116,7178.0,21.635234,HAT-P-17b_OUT_3_after1,05:05:13
2020-07-31,30.481348,308.85,2459061.7159142555,7178.0,21.635297,HAT-P-17b_OUT_3_after1,05:10:54
2020-07-31,30.481653,308.85,2459061.719862381,7178.0,21.635368,HAT-P-17b_OUT_3_after1,05:16:36
2020-08-01,30.481022,308.85,2459062.7076563863,7179.0,21.635023,HAT-P-17b_OUT_3_after2,04:59:01
2020-08-01,30.481044,308.85,2459062.7116046255,7179.0,21.635075,HAT-P-17b_OUT_3_after2,05:04:42
2020-08-01,30.481309,308.85,2459062.715552854,7179.0,21.635149,HAT-P-17b_OUT_3_after2,05:10:23
2020-08-01,30.481427,308.85,2459062.7195013,7179.0,21.635221,HAT-P-17b_OUT_3_after2,05:16:04
2020-08-01,30.496596,511.2,2459062.940973554,7229.0,21.635704,HAT-P-17b,10:35:00
2020-08-01,30.492567,511.2,2459062.947265746,7229.0,21.635795,HAT-P-17b,10:44:03
2020-05-07,30.476938,308.85,2458976.939497197,6553.0,21.634513,HAT-P-17b_OUT_1_before1,10:32:52
2020-05-07,30.477015,308.85,2458976.943445545,6553.0,21.634587,HAT-P-17b_OUT_1_before1,10:38:33
2020-05-07,30.477135,308.85,2458976.9473935836,6553.0,21.634653,HAT-P-17b_OUT_1_before1,10:44:14
2020-05-07,30.47732,308.85,2458976.9513420793,6553.0,21.634715,HAT-P-17b_OUT_1_before1,10:49:55
2020-07-23,30.480356,511.2,2459053.732119063,7152.0,21.635006,HAT-P-17b,05:34:15
2020-07-23,30.48053,511.2,2459053.73841152,7152.0,21.635121,HAT-P-17b,05:43:18
2020-07-23,30.496113,511.2,2459053.963954946,7152.0,21.635659,HAT-P-17b,11:08:05
2020-07-23,30.492173,511.2,2459053.970247481,7152.0,21.635753,HAT-P-17b,11:17:09
